CO2,SpO2,MABP,HbD40,HbT40,CCO40,time
5.2,97.9999999999999,39.5232416141095,-0.524191122263714,-0.552089906113039,-0.07467063410152,136
5.2,97.9999999999999,39.4161541712181,-0.577430885479968,-0.560153956382162,-0.0719033493451553,137
5.2,97.9999999999999,39.3116293384575,-0.623958890628453,-0.579832557097962,-0.070562890016646,138
5.2,97.9999999999999,39.2129361579984,-0.670491629390179,-0.600441079694097,-0.0697276166903302,139
5.2,97.9999999999999,39.1233436720114,-0.711101741659136,-0.626517918056127,-0.069294599160771,140
5.2,97.9999999999999,39.0461209226672,-0.749691110395323,-0.654956236328086,-0.0659878174412336,141
5.2,97.9999999999999,38.9845369521364,-0.794154600666096,-0.666770735583594,-0.0666941304493038,142
5.2,97.9999999999999,38.9418608025897,-0.826861569697045,-0.666672543156409,-0.0730616045777275,143
5.2,97.9999999999999,38.9213615161977,-0.865568069478384,-0.681388019285013,-0.0699736968974634,144
5.2,97.9999999999999,38.926308135131,-0.903386057986734,-0.668453130251848,-0.0764535657207981,145
5.2,97.9999999999999,38.9599697015603,-0.942319109871971,-0.654773481029238,-0.0807458756328714,146
5.2,97.9999999999999,39,-0.980991871130836,-0.639127484967005,-0.0826968176781255,147
5.2,97.9999999999999,39,-1.00063910890704,-0.619462479867874,-0.0833936675057192,148
5.2,97.9999999999999,39,-1.01989000727829,-0.593381493361623,-0.0857350343491357,149
5.2,97.9999999999999,39,-1.050795682021,-0.565347200562002,-0.0859550924164703,150
5.2,97.9999999999999,39,-1.07279730348203,-0.530791629938211,-0.0856190906937986,151
5.2,97.9999999999999,39,-1.07525875043323,-0.500559129340886,-0.0784187090044242,152
5.2,97.9999999999999,39,-1.05849236280834,-0.45285215733427,-0.0778591001647415,153
5.2,97.9999999999999,39,-1.02154455732483,-0.41348608268347,-0.0715685267239383,154
5.2,97.9999999999999,39,-0.969038911486551,-0.370319873570541,-0.0683114365194033,155
5.2,97.9999999999999,39,-0.920242303402563,-0.353654052884718,-0.0613701547643286,156
5.2,97.9999999999999,39,-0.886699479562788,-0.361690299795438,-0.0552251031596027,157
5.2,97.9999999999999,39,-0.859008298098463,-0.38677273660889,-0.0485062451777285,158
5.2,97.9999999999999,39,-0.848827083657222,-0.409966937948496,-0.0487073730166081,159
5.2,98.0263960006059,39,-0.844626470124679,-0.439364164446001,-0.0502513258898638,160
5.2,98.0676321769428,39,-0.845381887869729,-0.457324308480516,-0.0584502488825258,161
5.2,98.079356078425,39,-0.872246085661916,-0.494207048231758,-0.0634476874949552,162
5.2,98.0424546625959,38.9776179153726,-0.885671385604298,-0.523157064927997,-0.0708290842541963,163
5.2,97.9614950112223,38.9341517857143,-0.923681625311076,-0.557180240733977,-0.0774130676382772,164
5.2,97.8905772182892,38.9204326628391,-0.969759464574649,-0.558962601521259,-0.0934086576780908,165
5.2,97.8297012837967,38.9331915045766,-1.01820115028703,-0.587868847497305,-0.0943882687231756,166
5.2,97.7788672077446,38.9691592687561,-1.0560214784402,-0.593939303376626,-0.0987344236851815,167
5.2,97.738074990133,39.0250669132069,-1.0817652678907,-0.578913288108421,-0.104693127899008,168
5.2,97.7073246309619,39.1120432142707,-1.09853638303008,-0.549668705108388,-0.111196061647996,169
5.2,97.6996632478556,39.2459253258079,-1.11004149435974,-0.526482804846978,-0.107766822988284,170
5.2,97.7376488280034,39.3597262681741,-1.09011740000658,-0.475144899734282,-0.106034158922266,171
5.2,97.7553833553055,39.4534460413693,-1.04360300273178,-0.446784090437248,-0.0914103748177775,172
5.2,97.7561358719322,39.5270846453936,-0.980597293725945,-0.382453313099202,-0.0894564716908697,173
5.2,97.7431754200544,39.580642080247,-0.901000892101076,-0.356950883213614,-0.0751663251501888,174
5.2,97.7197710418427,39.6141183459294,-0.831839483865484,-0.32963593311549,-0.068219717232342,175
5.2,97.6891917794677,39.6275134424409,-0.77802059191732,-0.354829582946046,-0.0558911618494511,176
5.2,97.6547066751,39.6208273697815,-0.745150954688194,-0.378017866317098,-0.0586590374595959,177
5.2,97.6195847709104,39.5940601279511,-0.727512621800397,-0.436150360767755,-0.0562969671421394,178
5.2,97.5870951090694,39.5472117169498,-0.747190629401414,-0.499719224301188,-0.059974652845356,179
5.2,97.5605067317476,39.4802821367775,-0.770441616696129,-0.554405327304025,-0.0711059060116979,180
5.2,97.5004846099624,39.3932713874343,-0.811319697596572,-0.628597293677199,-0.0763310958393548,181
5.2,97.3875286679674,39.2861794689202,-0.871456375014166,-0.709797976754096,-0.0772119219969696,182
5.2,97.2511435262749,39.1590063812351,-0.940712432160776,-0.762440849687025,-0.0873233405437057,183
5.2,97.1274546548095,39.0478775943039,-1.02960331347198,-0.814887324943296,-0.0951844927033667,184
5.2,97.0494889567669,38.985820011322,-1.11515428723148,-0.850011945929211,-0.103520071155421,185
5.2,96.9869969378269,38.9425841379695,-1.19340194897717,-0.889801551010059,-0.105381695480186,186
5.2,96.9432476401602,38.9214390164169,-1.26295851559442,-0.889729953042174,-0.115626808434412,187
5.2,96.9215101059374,38.925653688835,-1.31396696490509,-0.87412840795281,-0.124873940040729,188
5.2,96.9250533773291,38.9584971973943,-1.34745061843061,-0.850308327634416,-0.130100314759193,189
5.2,96.9571464965062,39,-1.38184053264253,-0.827174450738319,-0.127273287726077,190
5.2,97,39,-1.39335036523916,-0.792262757560579,-0.12500705234095,191
5.2,97,39,-1.38492131726315,-0.747567964496156,-0.124889336600276,192
5.2,97,39,-1.37477321818205,-0.692657054818721,-0.129880271239633,193
5.2,96.96309685559,39,-1.36407024411252,-0.673921973533677,-0.127461413687819,194
5.2,96.9276979813664,39,-1.35879062871037,-0.653525813744729,-0.133124351415518,195
5.2,96.9211969291435,39,-1.35924671190933,-0.666509803320118,-0.139857999395138,196
5.2,96.9403246567505,38.9670819584627,-1.37929976137449,-0.705252374634508,-0.142899173637298,197
5.2,96.9818121220169,38.9294691381987,-1.40100442818608,-0.748997119364571,-0.15070353136309,198
5.2,97.0423902827721,38.920987186887,-1.43290983492414,-0.801702709549168,-0.154007354083475,199
